"Data Source","World Development Indicators",

"Last Updated Date","2016-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Belgium","BEL","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","15.4994086794133","15.2478222780932","14.5837350823594","15.3085840619773","14.1638460663","13.9741907895202","13.2572002674137","12.5929841331042","12.9937962705746","13.0419148922654","11.7330376149861","10.8360147502431","9.88819786648665","10.2155776202371","9.18006718917329","8.51469178434801","8.35374920748195","8.23964272380851","8.49681451261001","8.36963913094854","8.3394023147153","8.16925466540037","7.48299626901037","7.95036250629625","8.06688565175225","6.73274552199013","7.04028704365698","7.31071860634677","7.25792001678931","7.36846764821803","7.38096161304277","7.30483627775232","6.09621912154253","6.19957625681396","6.44255089722411","6.46744420615956","6.05426904986419","5.27645703422847","5.67726708415053","","4.84870122196117","4.33910455050053","3.90177013121487","3.75873090906288","3.83208500114846","3.16056371373902","3.05718819150778","2.83739769559816","","","","","",
"Benin","BEN","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","17.186265870358","15.0567035396713","16.4876130801682","15.7904598019425","15.7156129562532","17.9686896546925","14.2836156495159","14.3788689718925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","13.4739206216989","13.4787702664371","13.9579021295135","13.9817146999587","14.0977227797126","15.0984095394351","19.001042516863","19.0145754279245","14.9219510179507","18.5927472181532","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","36.2072611429867","38.1415436478571","46.5691439606412","46.6162155099359","49.5054603099625","50.866622239364","37.698335384614","41.9423934040941","36.8186594353588","33.0031158119791","33.0317966508329","37.9637619436829","36.9563158169956","42.8810875672372","37.411229441179","32.6305139879335","35.1052758677045","30.9607672867426","30.2837746423911","37.723791553307","37.1761124895943","38.7179802169401","37.6854310673378","37.5284110985477","37.9757889644201","37.5653575065685","","","44.4557622864752","","","40.3249366840735","","","","","","","","19.7983276680429","","","","","","","","","",
"Bulgaria","BGR","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7730942858357","10.8789521277241","12.6634410394527","13.6119024829599","13.6690647090788","17.6559660995572","19.5079085993036","19.0278456160559","17.0018975421903","14.6031234925562","13.6016154639947","12.0082815654066","13.6457903100082","13.0595050122191","12.4612523308115","12.7561136818372","","","","",
"Bahrain","BHR","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.64579634623826","2.69122996862328","2.25196123702144","3.42197979456844","3.23214175812563","","","","","",
"Bahamas, The","BHS","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","1.08902044007595","","","2.27265518444508","1.82115973760364","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6789890681163","13.6682538708036","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5333228167664","6.50293803029869","6.46919434250893","7.12430934810423","","","","",
"Belize","BLZ","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.83390817410463","7.44363395225464","4.38508873628824","3.81468637419616","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","28.0918725929903","27.0479126612185","23.7017314632421","24.4444444444444","24.9259917110716","16.3111668757842","21.1103253182461","18.3898059658268","20.5102247418506","18.5529010238908","11.0216473072862","5.61824165491302","6.43704606720352","10.4964383376933","9.58068538588786","11.3931702274062","6.27035291725129","5.40953262986884","3.69051868784624","5.10216203548966","5.30155927491708","4.04183104571255","4.99605508675818","5.40883525528642","4.90730949726207","4.84297707046324","4.43637351040362","4.31177075640185","4.66573562267198","5.97944630801855","5.1716786616931","4.09509559877654","","","","","","","","","","","","","","",
"Brazil","BRA","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2460824143935","","9.81638022790895","10.5597482898115","9.38078605199171","7.20441153393368","8.12490508117369","7.14481569173613","7.25761717840492","7.40562839109695","6.90537585179892","6.73772737164041","6.51853057616022","6.11287885288469","5.93105682909795","5.5165176350855","5.5831784775087","5.68890368364023","5.41021993404216","6.21399172240414","6.15993541049957","6.18240985020742","","","","",
"Barbados","BRB","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","14.7731820000728","15.9402176060419","13.6081738310873","13.111315793858","15.9063953059159","17.2383564790076","20.8652413202898","23.3770539633702","15.6349215316303","18.2420022620913","12.4716659926073","17.5215978312348","14.2245318519846","12.2848991284731","11.3798039106121","8.77077112633063","9.11288236815499","9.49018788764882","9.27985140189262","7.85040329483319","6.28299783344902","4.33138570767599","3.98906227900618","3.53572411262955","3.20418523293196","3.18724234829752","3.30905083265897","3.309050349743","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","15.7079639260036","10.9863676291079","12.2065726732412","7.43902518000198","7.9310336306365","9.77564167474197","8.97814505055876","7.8116920101231","","","","12.3450791683486","15.648684601126","9.01380663603437","8.95813028480931","8.38034935516764","9.57788487343814","7.6732917305274","5.31169606223913","5.08597705524514","4.65202807770611","4.22043193345408","4.53111946628483","3.84825497028822","4.01826979443058","4.25814383346549","2.89069556057148","6.59047887293365","6.43459240255347","4.41937170148967","6.13414107378061","","","","",
"Central African Republic","CAF","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","52.8045579921627","53.5427927680417","40.0811337705203","36.2361779173393","44.922739218117","42.9519726308609","","22.3142128054007","22.4916388187826","-4.00741003887172","15.1760117785737","","1.32046929664213","-53.5718579749046","-14.8375490785928","4.29652466231856","2.74947716526066","6.42641580457473","10.1643145753724","-2.34704835410471","-0.386670619505767","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","9.31677018846779","9.19298245612973","8.7507926451195","8.52173912792579","8.3776595746191","8.45865626291705","8.39431367827585","8.41422437925716","8.40915951527352","8.40869732692015","8.02782111019607","7.59036464563449","7.58155405021519","7.68742655821334","7.25761654630186","7.27673649515393","7.32276119489885","7.15205263920479","7.01821668248545","6.65394055016952","6.91808497544845","6.38885936058388","6.17539706123684","6.33828996251996","6.02633355740747","5.55262165185809","5.6517574246494","5.07308208890843","5.00282355407403","4.73868987252813","4.55851236320048","4.21315748965334","3.87378203498159","3.93900504889693","3.97683375978201","3.99690894258585","3.43271880243286","3.66084953085615","3.7677636498193","3.53977616143399","3.51252220993705","3.02615713026615","2.58098615303554","2.38176779633716","2.11624871367192","1.80009161784562","3.91190340074224","3.83616822978055","3.73642812162969","","","","",
"Central Europe and the Baltics","CEB","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","4.93398507768612","4.67137408467033","4.27203051102905","3.98817883453165","3.7992831534849","3.66234629314366","3.76696056121771","3.53034665090358","3.2667526544945","3.40045661562348","3.38486894716484","","","","","","","","","","","","","1.24802331742178","1.33179316402747","","","","","",
"Channel Islands","CHI","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","18.562874200317","18.2539682336243","18.5567009990525","18.0530973140087","19.0666666863981","13.4822167015784","12.0273109435065","11.8425760349747","12.5518385422891","15.1504487357831","16.3290808087562","9.10681974198255","8.36099586971534","9.19691598394616","9.96333340332618","9.89669177300484","9.75613878156073","8.90773531516894","8.404476122416","6.98024464939779","6.16675114442079","6.84659203519367","6.65440891550394","7.61724855153046","7.55437314327422","7.48519207008171","7.41038849684151","7.46344583797692","7.68304907263307","7.49435537779228","7.41078096433804","7.02554346528288","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","18.2735569638044","19.4741058116726","17.0108977689718","14.8554587064873","13.7481894621151","14.0993562178841","14.4915555446555","14.1211920372361","13.9577049094935","14.3895383300232","14.7929638272956","13.5555555559536","12.9128724563971","13.1919198449276","13.7041307399763","11.7040841082849","12.0377851735393","11.9131186022754","11.7511109814446","11.4430951032151","11.2231067337833","11.1704831955431","10.6442579183496","10.6048457545507","10.4322226938189","10.6146714362194","10.3854641561146","9.97548343271697","","","","","","","","",
"Cote d'Ivoire","CIV","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","17.9556490498308","13.3617134943963","13.1816765146793","16.5002801004275","16.1408936668605","15.6849098145368","14.4603146114801","14.8554537430088","13.3729482458252","13.3695347788474","16.8543773020539","16.5176577530066","17.2452462655589","17.054472390416","17.1638392053289","14.7630344068437","16.6132646589711","17.2633461754182","","","","13.238289188465","10.2766798383758","10.0189035961527","6.66666667476846","","","","","8.89448286464703","10.9549939754588","13.2341256959337","10.0780151930854","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","15.0289521236481","17.357773385923","15.3936389213732","","14.923605627127","16.2130634522716","15.4639174301037","11.4581246509351","9.17837970482173","8.0972358832578","8.87279241621318","9.46816689985564","9.41623674990138","8.76294032482707","9.73894422223622","","","","","4.9026842966252","-12.7850145301436","8.00992669411102","6.06677795054037","10.9987395568116","8.23251298074999","15.2066637969882","10.6701407066072","13.3140284216876","9.17037297483409","15.2917928418212","18.9656647161211","13.787617746532","5.56023627737252","","","","","","","","","","","","","",
"Congo, Rep.","COG","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","3.19047627655321","3.55893533415664","4.35805429674567","5.25794722117318","5.35862330024142","4.40642890915419","3.78586447141235","9.12222099047717","14.3018962835639","12.5288741531837","","","","16.0678992214941","15.1060871356136","10.0664984197514","8.66418418612498","8.68072583699792","6.52974059554485","4.94004848980733","4.28450390109144","","","","","","","","","","","","2.69449422589616","2.45821816947901","2.31656354383637","2.21732026239224","2.39329519855715","2.42445490526323","2.24844292223586","2.81072750712435","1.96693480994398","1.79694463210298","","","","","","",
"Colombia","COL","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","20.9169707278552","19.0179190730674","19.536878204135","18.6039783485428","18.5904513785039","19.0424196158257","19.6513981305426","20.1334816211717","22.5724602257204","21.5586058099876","21.8778681260213","18.261422429596","16.7515915673617","19.076438391595","19.1975931915514","19.3991692353811","18.2486684661771","16.1566936136857","14.4994954064224","14.2832735369099","13.364415967647","14.0494632962187","13.8086050801848","12.5172462892111","13.7600209700793","14.8471369546568","14.9878655702404","15.2577460197392","13.64474484167","13.4962247253968","13.5266759826762","11.888628036277","11.1112645577309","11.474271575198","10.5905727451624","10.4154216879093","9.43808846376477","10.7470616704854","10.4207532489632","9.78361857531871","9.55172068611208","9.27911697249052","8.9275477733828","8.53573515013209","7.77129146102676","7.2891207676252","6.75013994083426","6.43636668688001","6.41549130526683","","","","",
"Comoros","COM","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","13.0847230929605","12.634319325957","13.4720590674643","13.173790428226","13.3767468718895","13.831291425031","12.8515746109901","12.3049483185316","12.5129509839875","12.0066142396879","11.4890229639321","11.6368963575878","11.8064139852366","11.7653526933696","11.2878973925695","10.9022182965471","10.0560819347626","10.1942897608249","10.5203070948945","10.1076648949929","11.0286610905756","9.31090520202672","9.32515916430691","7.73045463011235","7.14754627555684","7.61621499414687","8.05629517883869","8.03859647510644","11.8568552743287","11.8631242535934","11.4896243656561","10.5739076329753","9.18581075544844","8.50083657658153","7.9237734855481","8.14402162569443","7.28354145108771","6.35005953258598","5.67742898172926","5.53267011009727","4.93426844588304","4.74766584454621","4.66678752576081","4.12683320546701","3.70124851507382","3.5121959259198","3.73887066280785","3.43017722140517","3.28409299371719","","","","",
"Caribbean small states","CSS","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","8.87886751775856","9.22253010219305","9.54476121852367","7.939823300274","6.71379111605929","5.17740216009038","4.41536068822364","5.23527085596818","4.17826005843072","4.27326578125","4.62705904867572","5.34102939334487","5.90328011423322","4.6089822305921","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
